Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Recommendations for Patient,Herbal/Alternative Remedies,Ayurvedic Herbs Recommended
Pneumocystis Pneumonia,"Difficulty breathing, fever, cough","Blood Tests, Chest X-ray, CT Scan",Severe,1-2 months,"HIV/AIDS, Weakened immune system",Antifungal medications,"HIV/AIDS, Weak Immune System","Weakened immune system, Environmental factors",Irregular sleep,High stress,Low,No family history,"High-protein, Nutrient-rich diet",,"Winter, Cold season",Adult,Both genders,Immunocompromised lifestyle,Avoids crowded areas,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Maintain good hygiene; avoid cold or damp environments.,None specific,Antifungal Medications,"Regular Monitoring, Medication",Can Be Managed with Medication,Respiratory Failure,"Early Detection, Regular Monitoring",None specific,None specific
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Chest X-ray, Blood Tests",Moderate to Severe,1-2 months,"Respiratory infection, Smoking","Antibiotics, Supportive care","Smoking, Weak Immune System, Age","Smoking, Poor sanitation",Irregular sleep,High stress,Low,Family history of respiratory diseases,"High-protein, Hydrating diet",,"Winter, Rainy season",All age groups,Both genders,Sedentary lifestyle,Avoids crowded areas,"Garlic (2 cloves), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Stay hydrated; focus on immune-boosting foods like garlic and ginger.,None specific,"Antibiotics, Supportive Care","Quit Smoking, Vaccination",Can Be Managed with Medication,"Respiratory Failure, Sepsis","Vaccination, Early Diagnosis","Herbal Remedies, Lifestyle Changes",None specific
Pneumonic Plague,"Fever, chills, swollen lymph nodes, coughing with blood","Blood Tests, Sputum Culture",Severe,2-4 weeks,"Bacterial infection, Rural areas",Antibiotics,"Rodent Exposure, Flea Bites","Poor sanitation, Rodent exposure",Irregular sleep,High stress,Low,No family history,"High-protein, Nutrient-rich diet",,Rainy season,Adult,Both genders,Exposure to rodents,Avoids crowded areas,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Avoid contact with infected individuals; maintain hygiene and boost immunity.,None specific,"Antibiotics, Supportive Care","Avoid Rodent Exposure, Flea Protection",Can Be Managed with Medication,"Organ Failure, Respiratory Issues","Early Diagnosis, Antibiotics",None specific,None specific
Polio,"Muscle weakness, paralysis, fever, headache","Physical Exam, Virus Detection",Severe,Lifelong,"Viral infection, Lack of vaccination","Vaccination, Supportive therapy","Poor Sanitation, Lack of Vaccination","Lack of vaccination, Poor sanitation",Irregular sleep,High stress,Low,Family history of polio,"Balanced, High-protein diet",,"Summer, Monsoon season",Childhood,Both genders,Exposure to unvaccinated populations,Avoids contaminated water,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Support physical therapy; ensure a protein-rich diet for muscle recovery.,None specific,"Vaccination, Supportive Care","Vaccination, Good Hygiene",Can Be Prevented with Vaccination,"Paralysis, Respiratory Issues","Vaccination, Good Hygiene",None specific,None specific
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney enlargement","Ultrasound, Blood Tests, CT Scan",Severe,Lifelong,"Genetic disorder, Kidney disease","Blood pressure meds, Dialysis","Family History, Genetic Mutations",Genetic,Irregular sleep,High stress,Low,Family history of kidney disease,"Low-salt, Low-protein diet",,All seasons,Adult,Both genders,Requires regular monitoring,Avoids dehydration,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on kidney health; avoid salty foods and maintain hydration.,None specific,"Medications, Kidney Transplant","Genetic Counseling, Regular Monitoring",Can Be Managed with Treatment,"Kidney Failure, High Blood Pressure","Regular Monitoring, Medication",None specific,None specific
Polycystic Ovary Syndrome (PCOS),"Irregular periods, excessive hair growth, weight gain","Ultrasound, Blood Tests",Moderate to Severe,Lifelong,"Hormonal imbalance, Menstrual issues","Birth control, Insulin sensitizers","Genetics, Obesity, Hormonal Imbalance","Hormonal imbalance, Obesity",Irregular sleep,Moderate stress,Low,Family history of PCOS,"Low-carb, Nutrient-rich diet",,All seasons,"Adult, Teen",Female,Stress management required,Avoids processed foods,"Shatavari (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Pitta-Kapha,Follow a balanced diet with low glycemic index foods; include regular exercise.,Yoga for Hormonal Balance,"Hormonal Therapy, Surgery","Healthy Diet, Regular Exercise",Can Be Managed with Treatment,"Infertility, Diabetes, Obesity","Regular Monitoring, Healthy Lifestyle","Herbal Remedies, Diet Changes","Ashwagandha, Shatavari"
Porphyria,"Abdominal pain, skin sensitivity, neurological issues","Blood Tests, Urine Tests",Severe,Lifelong,"Genetic disorder, Liver dysfunction",Symptom-specific therapy,"Genetic Mutations, Sun Exposure",Genetic,Irregular sleep,High stress,Low,Family history of porphyria,"Low-fat, High-protein diet",,All seasons,Adult,Both genders,Avoids sunlight,Avoids alcohol,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid sunlight exposure; support liver and detox with herbal remedies.,None specific,"Medications, Lifestyle Modifications","Avoid Sun Exposure, Healthy Diet",Can Be Managed with Treatment,"Skin Sensitivity, Abdominal Pain","Avoid Sun Exposure, Regular Monitoring","Herbal Remedies, Diet Changes",None specific
Prader-Willi Syndrome,"Insatiable hunger, obesity, developmental delay","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Developmental delays",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of genetic disorders,"Balanced, High-protein diet",,All seasons,Childhood,Both genders,Requires special care,Avoids overstimulation,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on managing appetite; support development with balanced nutrition.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,"Obesity, Developmental Delay","Early Diagnosis, Regular Monitoring",None specific,None specific
Primary Amebic Meningoencephalitis,"Headache, fever, nausea, vomiting, stiff neck","CSF Analysis, Brain Imaging",Severe,1-2 weeks,"Amoebic infection, Freshwater exposure",Antifungal treatments,Exposure to Contaminated Water,Freshwater exposure,Irregular sleep,High stress,Low,No family history,"Hydrating, Low-fat diet",,"Summer, Rainy season","Childhood, Adult",Both genders,Avoids contaminated water,Avoids swimming in warm water,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid exposure to contaminated water; maintain good hygiene.,None specific,"Antifungal Medications, Supportive Care",Avoid Contaminated Water,Can Be Managed with Medication,"Brain Damage, Death","Early Diagnosis, Good Hygiene",None specific,None specific
Primary Ciliary Dyskinesia,"Chronic respiratory infections, sinusitis, cough","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Respiratory issues",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of respiratory issues,"High-protein, Antioxidant diet",,"Winter, Cold season","Childhood, Adult",Both genders,Avoids cold air,Avoids respiratory irritants,"Ginger (2g), Tulsi leaves (2g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Support lung health; avoid cold air and focus on respiratory health with herbal teas.,Breathing Exercises,"Medications, Respiratory Therapy","Genetic Counseling, Early Diagnosis",Can Be Managed with Treatment,"Respiratory Issues, Sinus Infections","Regular Monitoring, Respiratory Care",None specific,None specific
Prostate Cancer,"Urinary problems, pelvic pain, difficulty urinating","PSA Test, Biopsy, Ultrasound",Severe,Lifelong,"Cancer, Older age","Chemotherapy, Hormone therapy","Age, Family History, Smoking","Age, Hormonal imbalance",Irregular sleep,High stress,Low,Family history of cancer,"Low-fat, High-fiber diet",,All seasons,"Elderly, Adult",Male,Requires regular monitoring,Avoids alcohol,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include prostate-healthy foods like tomatoes and flaxseeds; reduce stress.,None specific,"Surgery, Radiation, Chemotherapy","Regular Check-ups, Healthy Lifestyle",Depends on Stage of Cancer,"Metastasis, Urinary Problems","Early Detection, Healthy Lifestyle",None specific,None specific
Psoriasis,"Red, inflamed skin, scales, itching","Physical Exam, Skin Biopsy",Severe,Lifelong,"Genetic, Autoimmune disorder","Topical treatments, Systemic meds","Genetics, Infections, Stress","Genetic, Environmental factors",Irregular sleep,Moderate stress,Low,Family history of psoriasis,"Low-carb, Anti-inflammatory diet",,"Winter, Cold season",Adult,Both genders,Exposure to stress triggers,Avoids harsh weather,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on anti-inflammatory foods; maintain a skin-care routine with natural products.,Yoga for Stress Relief,"Topical Treatments, Systemic Medications","Stress Management, Healthy Diet",Can Be Managed with Treatment,"Skin Lesions, Joint Pain","Regular Monitoring, Stress Management","Herbal Remedies, Diet Changes","Neem, Turmeric, Aloe Vera"
Pulmonary Hypertension,"Shortness of breath, dizziness, chest pain","Echocardiogram, Blood Tests, CT Scan",Severe,Lifelong,"Respiratory issues, Cardiac issues","Blood pressure meds, Oxygen therapy","Genetics, Heart Disease, Lung Disease","Genetic, Heart conditions",Irregular sleep,High stress,Low,Family history of heart disease,"Low-salt, High-fiber diet",,All seasons,"Adult, Elderly",Both genders,Requires oxygen support,Avoids high altitudes,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on lung and heart health; avoid salty foods and manage stress levels.,Breathing Exercises,"Medications, Oxygen Therapy","Regular Monitoring, Healthy Lifestyle",Can Be Managed with Medication,"Heart Failure, Organ Damage","Regular Monitoring, Healthy Diet",None specific,None specific
Q Fever,"High fever, chills, headache, muscle pain","Blood Tests, Serology Tests",Moderate to Severe,1-2 months,"Bacterial infection, Animal exposure",Antibiotics,Contact with Infected Animals,"Animal exposure, Rural areas",Irregular sleep,Moderate stress,Low,No family history,"Hydrating, High-protein diet",,All seasons,Adult,Both genders,Exposure to animals,Avoids exposure to livestock,"Neem leaves (5-6), Warm water (200ml)",Pitta,Pitta-Prakriti,"Rest in a cool, comfortable environment; drink plenty of fluids to stay hydrated.",None specific,Antibiotics,"Avoid Animal Contact, Good Hygiene",Can Be Managed with Medication,"Endocarditis, Respiratory Issues","Avoid Animal Contact, Good Hygiene",None specific,None specific
Rabies,"Fever, agitation, hallucinations, hydrophobia","Physical Exam, Animal Bite History",Severe,1-2 weeks,"Animal bite, Viral infection",Antirabies vaccine,"Animal Bites, Poor Animal Control","Animal exposure, Rural areas",Irregular sleep,High stress,Low,Family history of rabies,"Low-fat, High-protein diet",,All seasons,All ages,Both genders,Exposure to animals,Avoids wild animal contact,"Garlic (2 cloves), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Seek medical attention immediately; support immune health with garlic and turmeric.,None specific,"Rabies Vaccine, Antibodies","Vaccination, Avoid Animal Bites",Can Be Prevented with Vaccination,"Death, Neurological Damage","Early Treatment, Avoid Animal Bites",None specific,None specific
Relapsing Fever,"Recurrent fevers, headaches, muscle aches","Blood Tests, Blood Smear",Severe,1-2 weeks,"Bacterial infection, Tick bites",Antibiotics,"Ticks, Infected Animals","Tick exposure, Poor hygiene",Irregular sleep,High stress,Low,No family history,"Hydrating, Low-sugar diet",,All seasons,"Adult, Children",Both genders,Avoids outdoor exposure,Avoids unsanitary areas,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on hydration and rest; avoid contact with infected individuals.,None specific,Antibiotics,"Avoid Tick Bites, Good Hygiene",Can Be Managed with Medication,"Recurrence, Organ Damage","Regular Monitoring, Avoid Tick Bites",None specific,None specific
Renal Hypertension,"High blood pressure, headache, nausea, fatigue","Blood Tests, Ultrasound, CT Scan",Moderate to Severe,Lifelong,"Kidney disease, Hypertension",Blood pressure medication,"Obesity, Kidney Disease, Genetics","Kidney dysfunction, Age",Irregular sleep,High stress,Low,Family history of hypertension,"Low-sodium, High-fiber diet",,All seasons,"Adult, Elderly",Both genders,Requires monitoring,Avoids excessive salt,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Kapha,Maintain kidney health; avoid salty and high-fat foods; hydrate well.,None specific,"Medications, Lifestyle Changes","Healthy Diet, Regular Exercise",Can Be Managed with Medication,"Kidney Damage, Heart Disease","Regular Monitoring, Healthy Diet",None specific,None specific
Respiratory Issues,"Shortness of breath, cough, wheezing","Physical Exam, Pulmonary Function Test",Moderate to Severe,1-6 months,"Asthma, Chronic bronchitis","Inhalers, Steroids","Smoking, Pollution, Infections","Air pollution, Allergens",Irregular sleep,High stress,Low,Family history of asthma,"Low-carb, High-protein diet","Dust, Pollen",All seasons,All ages,Both genders,Avoids polluted air,Avoids tobacco smoke,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Focus on lung health; practice deep breathing exercises and avoid pollutants.,Breathing Exercises,"Medications, Respiratory Therapy","Quit Smoking, Avoid Pollutants",Can Be Managed with Treatment,"Respiratory Failure, Infections","Avoid Smoking, Regular Exercise","Herbal Remedies, Lifestyle Changes",None specific
Rett Syndrome,"Loss of motor skills, seizures, abnormal hand movements","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Developmental delays",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of Rett syndrome,"Balanced, High-nutrient diet",,All seasons,Childhood,Female,Requires special care,Avoids overstimulation,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Support cognitive and motor development; ensure a balanced diet.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,"Developmental Delays, Seizures","Early Diagnosis, Regular Monitoring",None specific,None specific
Rheumatic Heart Disease,"Chest pain, heart palpitations, difficulty breathing","Blood Tests, Echocardiogram",Severe,Lifelong,"Strep throat, Heart complications","Antibiotics, Surgery","Strep Throat, Poor Treatment of Infections",Previous strep throat infection,Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber diet",,All seasons,"Childhood, Adult",Both genders,Regular medical check-ups,Avoids strenuous activities,"Garlic (2 cloves), Ginger (2g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Focus on heart health; avoid salty and fatty foods; manage stress.,None specific,"Surgery, Medications","Treat Infections Promptly, Good Hygiene",Can Be Managed with Treatment,"Heart Valve Damage, Heart Failure",Early Treatment of Infections,None specific,None specific
